Sequence,Speaker,Utterance,Column1
489,M1:,"..在投信那邊跟勝對鬥呀 ,",
490,M1:,..[[[鬥很兇]]] .,
491,M2:,  [[[那很無]]]聊啊 .,
,M2:,沒有意義嘛 .,
,M2:,唉 .,
492,M1:,(0)啊勝他會賺錢 .,
493,M2:,(0)對呀 .,
,M2:,勝做得還不錯啦 .,
,M2:,以專業經理人來講我覺得他做得不錯 .,
494,M1:,..他會賺錢啊 .,
495,M2:,(0)um .,
496,M2:,..所以<@我覺得很@@好笑@> .,
497,M2:,"..然後後來好像沒多久 ,",
498,M2:,..那個<@吃完飯以後我就聽說他離開了@> .,
499,M1:,...喔對呀 .,
500,M1:,"..那一 ,",
,M1:,"喔那一頓飯 ,",
501,M1:,"..就是剛 ,",
502,M1:,..<L2 announce merge L2>的時候 .,
503,M2:,(0)對 .,
504,M2:,"...然後後來 ,",
,M2:,他可能就開始很積極 .,
,M2:,"你也知道他也是很<L2 aggressive L2> ,",
,M2:,"他應該就是出去業界到處找到處找然後就 ,",
,M2:,[跑]去那邊 .,
505,M1:,[um] .,
506,M1:,...um,
507,M1:,"..開發金 ,",
508,M1:,...(1.4)也沒理他 .,
,M1:,他 --,
509,M2:,X,
