Turn,Speaker,Utterance
190,F2:, .. [我 記 得 手機 就 不行]
191,F1:, [但
191,F1:, .. 但] 是 那 個
191,F1:, .. 問題 是
191,F1:, .. 在 秋葉 原
191,F1:, .. 你 看 那 種
191,F1:, .. 他 們電器 應該 是 最 便宜 的 地方
192,F2:, .. 結果 也 [[是 賣 很 貴]]
193,F1:, [[可是
193,F1:, .. 對]]
193,F1:, .. 它 就 說
194,F2:, .. 換算 成[台幣 多少]
195,F1:, [同 樣 的]
195,F1:, .. 大概 三千多 塊 一 隻
195,F1:, .. 就 變成
195,F1:, .. 同樣 的 容量
195,F1:, .. 比如 說
195,F1:, .. 你 一般 的 那 種
195,F1:, .. IBM 或者是 其他 那 一 種
195,F1:, .. 那 一 種 大牌 大 廠牌 的
195,F1:, .. um
195,F1:, .. 同樣 容量 跟 那 個 同樣 容量
195,F1:, .. 問題 是
195,F1:, .. 可能 是 二分之一 的 價格
195,F1:, .. 就是 它
195,F1:, .. 一模一樣 的 功能 啦
195,F1:, .. 只是 它 沒有 那 可愛 的 造型
196,F2:, .. um
197,F1:, .. 對 啊
197,F1:, .. 但是 那 個 價格 就是
198,F2:, .. 那 就 等於 是
198,F2:, .. 花錢 買造型 就 對 了
199,F1:, .. 對 啊 對 啊
199,F1:, .. 然後
199,F1:, .. 後來 就 沒買 啦
199,F1:, .. 因為 他們
200,F2:, .. 我 就是 那 種 人
201,F1:, .. @@@
202,F2:, .. 我 就是 花錢 買造型 的 那 種 人
203,F1:, .. 沒有
203,F1:, .. 後來 就 說
203,F1:, .. 就 聽到 這麼貴 啊
203,F1:, .. 那 就 不要 買 啦
204,F2:, .. 也 對 啦
205,F1:, .. 後來 就
205,F1:, .. 改買 御守
206,F2:, .. um
207,F1:, .. 對 啊
208,F2:, .. 而且 男生 也 不是 這麼 重造型
208,F2:, .. 你 看 了 可 愛
208,F2:, .. 人家 也 不 一定 喜歡
209,F1:, .. 對 啊
209,F1:, .. 我 就 說
209,F1:, .. 不用
209,F1:, .. 我 剛剛 還 跟 她 講
209,F1:, .. 不用 送 了 啦
209,F1:, .. 不用
209,F1:, .. 反正 又 沒幹 嘛
